actual,pred
support  vector machines,support vector machine
hierarchical dirichlet tree,hindi dependency treebank
section,second
lexical cohesion,less computerized
lexical cohesion,low constant
lexical cohesion,less computerized
headdriven,head
headdriven,head
location name,lin
global entropy,generalized expectation
generalized expectation,global entropy
genia,genia event
genia event,genia
generalized expectation,global entropy
modals,modifier
modals,modifier
modals,modifier
language identification,linguist
parse tree,partial tree
parse tree,parse trees
parse tree,phrase table
parse tree,partial tree
parse tree,partial tree
parse tree,partial tree
phrase table,probable alignments
parse trees,parse tree
parse trees,part
prompts,part
probable alignments,part
parse tree,parse trees
parse tree,parse trees
parse tree,part
parse tree,part
parse tree,part
parse tree,part
parse tree,parse trees
or,group
grammatical relation,glue rule
greetin,group
aligned wordnets,arabic wordnet
longest common substring,longest common subsequence
longest common substring,longest common subsequence
longest common substring,longest common subsequence
least common subsumer,longest common substring
longest common sub,longest common subsequence
longest common sub,longest common subsequence
longest common sub,longest common subsequence
longest common sub,longest common subsequence
longest common sub,longest common subsequence
longest common sub,longest common subsequence
mum description length,minimum description length
mum description length,minimum description length
mum description length,minimum description length
mum description length,minimum description length
mum description length,minimum description length
mum description length,minimum description length
texttospeech,texttospeech synthesis
texttospeech synthesis,text to speech
stat,stative
description logics,description logic
description logics,description logic
description logics,description logic
description logics,description logic
description logics,description logic
university of sheffield,university
university of sheffield,university
university of sheffield,university
university of manchester,university of sunderland
university of oxford,university of sheffield
ngrams,noun group
cognitio,cognition
cognitio,cognition
cognitio,cognition
cognitio,cognition
cognitio,cognition
cognitio,cognition
question  answering,question answerin
question  answering,question answerin
question answerin,question answer
question answerin,question answer
question answerin,question answer
carpetbagger,ui
