id,sentence,labels
1,12 Terms of reference A Correspondence Group coordinated by the expert of the United Kingdom and including representatives of affected industries and users of intermediate bulk containers IBC's shall examine current practices of UN composite IBC re bottling and cross bottling in several countries,O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long B-short O O O O O O O O O O O O O O O O
2,The comprehensive list of currently identified object classes including cartographic objects and composite objects their appropriate attributes and the full range of allowable attribute values It can be compared to the Chart 1 INT 1 as the legend of the paper chart a collection of allowed hydrographic object classes,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-short O O O O O O O O O O O O O O
3,Subregional activities for development Legislative mandates 15 1 The mandate of the Economic and Social Commission for Asia and the Pacific ESCAP which is to promote economic and social development in the Asian and Pacific region by fostering cooperation between its members and associate members is derived from Economic and Social Council resolutions 37 IV and 414 XIII by which the Commission was established,O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
4,OIOS recommended that Secretariat programmes take concrete actions to reinforce the commitment to gender mainstreaming and focus on results OIOS also encouraged the United Nations Entity for Gender Equality and the Empowerment of Women UN-Women to take the conclusions of the evaluation into account when developing its mandate and considering its resources and structure,B-short O O O O O O O O O O O O O O O O O O B-short O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O
5,98 The Ministry of Education and Culture has supported the long term No Racism NoRa programme of Save the Children Finland,O O O O O O O O O O O O B-long I-long B-short O O O O O O
6,DRC Disability Rights Commission ECHR Convention for the Protection of Human Rights and Fundamental Freedoms European Convention on Human Rights EOC Equal Opportunities Commission HRA Human Rights Act 1998,B-short B-long I-long I-long B-short O O O O O O O O O O B-long I-long I-long I-long I-long B-short B-long I-long I-long B-short B-long I-long I-long O
7,Other travel related costs Total expenditure Balancea Abbreviations AWG-KP Ad Hoc Working Group on Further Commitments for Annex I Parties under the Kyoto Protocol AWG-LCA Ad Hoc Working Group on Long-term Cooperative Action under the Convention ADP Ad Hoc Working Group on the Durban Platform for Enhanced Action SBI Subsidiary Body for Implementation SBSTA Subsidiary Body for Scientific and Technological Advice,O O O O O O O O B-short B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long I-long O O O B-short B-long I-long I-long I-long I-long I-long I-long I-long O O O B-short B-long I-long I-long I-long B-short B-long I-long I-long I-long I-long I-long I-long
8,The Alliance a Led the European Economic Commission for Europe ECE Regional Caucus in partnership with other regional caucuses at the Commission on the Status of Women in important and successful lobbying of Governments against any weakening of language in the agreed conclusions b Worked with the Gender Equality Architecture Reform campaign to ensure the establishment of the United Nations Entity for Gender Equality and Empowerment of Women UN-Women c Worked with other leading NGOs on the needs and concerns of older women enabling the introduction in the Committee on the Elimination of Discrimination against Women of general recommendation No,O O O O O O B-long I-long I-long I-long B-short O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long I-long I-long I-long I-long I-long B-short O O O O O B-short O O O O O O O O O O O O O O O O O O O O O O O O O
9,10 a.m. 1 p.m. Closed meeting Conference Room A NLB Group of 77 Second Committee Sustainable development issues 10 a.m. 12 noon Closed meeting Conference Room D NLB Group of 77 Second Committee Macroeconomic issues,O B-short O B-short O O O O O B-short O O O O O O O O O B-short O O O O O O O B-short O O O O O O O
10,The Secretary General has received the following statement which is being circulated in accordance with paragraphs 36 and 37 of Economic and Social Council resolution 1996 31 of 25 July 1996 International Federation of Women in Legal Careers I.F.W.L.C is an international NGO founded in Paris in 1928 and has a consultative status with the ECOSOC since 1961,O O O O O O O O O O O O O O O O O O O O B-long I-long I-long I-long I-long O O O O O O B-long I-long I-long I-long I-long I-long I-long B-short O O O B-short O O O O O O O O O O O O B-short O O
